9183,0.01,0.05,-0.69
9205,0,-0.02,-0.7
9227,0.01,0.05,-0.69
9249,0.03,0.12,-0.67
9271,0.01,0.1,-0.69
9293,0.01,0.05,-0.69
9315,0,-0.08,-0.7
9337,0.01,0.07,-0.69
9359,0.01,0.07,-0.69
9381,0.01,0.1,-0.69
9404,0,-0.05,-0.7
9426,0,-0.03,-0.7
9448,0.01,0.05,-0.69
9470,0,0.03,-0.7
9492,0.01,0.08,-0.69
9514,0.01,0.01,-0.69
9536,0.01,0.09,-0.69
9558,0.01,0.05,-0.69
9580,0.01,0.05,-0.69
9602,0.01,0.05,-0.69
9624,0.01,0.06,-0.69
9646,0,-0.01,-0.7
9668,0.01,0.05,-0.69
9690,0.01,0.04,-0.69
9712,0.01,0.1,-0.69
9734,0.01,0.04,-0.69
9756,0.01,0.04,-0.69
9778,0,-0.02,-0.7
9800,0.03,0.14,-0.67
9822,0.01,0.04,-0.69
9845,0,0.04,-0.7
9867,0,-0.08,-0.7
9889,0,-0.02,-0.7
9911,0.01,0.11,-0.69
9933,0,0.02,-0.7
9955,0.01,0.06,-0.69
9977,0,-0.06,-0.7
9999,0,0.03,-0.7
10021,0,-0.03,-0.7
10043,0.01,0.08,-0.69
10065,0,0,-0.7
10087,0.01,0.08,-0.69
10109,0.01,0.02,-0.69
10131,0.01,0.1,-0.69
10153,0,-0.03,-0.7
10175,0.01,0.05,-0.69
10197,0.01,0.04,-0.69
10219,0,0.04,-0.7
10241,0,-0.03,-0.7
10263,0,-0.04,-0.7
10285,-0.01,-0.05,-0.71
10307,0,0.02,-0.7
10329,0,-0.02,-0.7
10351,0,0.04,-0.7
10373,0,-0.01,-0.7
10395,0.01,0.06,-0.69
10417,0,0,-0.7
10439,0,0.02,-0.7
10461,0,-0.05,-0.7
10483,0,0.01,-0.7
10505,0.01,0.08,-0.69
10527,0,0,-0.7
10550,0.01,0.07,-0.69
10572,0,-0.05,-0.7
10594,0.01,0.1,-0.69
10616,0,-0.04,-0.7
10638,0,0.02,-0.7
10660,0,-0.05,-0.7
10683,0.01,0.09,-0.69
10705,0,0.01,-0.7
10727,0.01,0.08,-0.69
10750,0.01,0.01,-0.69
10772,0,0.03,-0.7
10794,0.01,0.05,-0.69
10816,0.01,0.04,-0.69
10838,0,0.03,-0.7
10860,0,-0.03,-0.7
10883,0.01,0.03,-0.69
10905,0,0.02,-0.7
10927,0.01,0.1,-0.69
10949,0,-0.05,-0.7
10971,0.04,0.23,-0.66
10993,-0.01,-0.1,-0.71
11015,0,0.05,-0.7
