103176,0.01,0.01,0.71
103198,-0.01,-0.02,0.69
103221,0.01,0.01,0.71
103243,0.01,0.01,0.71
103265,0.01,0.01,0.71
103287,0.01,0.01,0.71
103309,0.01,0.02,0.71
103331,0.01,0.02,0.71
103353,0.01,0.01,0.71
103375,0.01,0.01,0.71
103397,-0.01,-0.02,0.69
103420,0.01,0.01,0.71
103442,0.01,0.01,0.71
103464,0.01,0.01,0.71
103486,0.01,0.01,0.71
103508,-0.01,-0.01,0.69
103530,0.02,0.05,0.72
103552,-0.01,-0.02,0.69
103574,0.02,0.04,0.72
103596,0.01,0.01,0.71
103618,-0.01,-0.01,0.69
103640,0.01,0.01,0.71
103662,0.02,0.05,0.72
103684,0.05,0.10,0.75
103706,-0.01,-0.02,0.69
103728,-0.01,-0.00,0.69
103750,-0.01,0.00,0.69
103772,-0.01,-0.01,0.69
103794,0.01,-0.01,0.71
103816,-0.01,-0.03,0.69
103838,-0.01,-0.02,0.69
103860,-0.01,-0.01,0.69
103882,-0.01,-0.01,0.69
103904,-0.01,-0.02,0.69
103926,-0.01,-0.02,0.69
103948,0.01,0.01,0.71
103970,-0.01,-0.02,0.69
103992,0.01,0.01,0.71
104014,-0.05,-0.11,0.65
104036,0.01,0.02,0.71
104058,0.02,0.04,0.72
104080,0.01,-0.00,0.71
104102,0.01,0.00,0.71
104124,0.01,0.03,0.71
104146,-0.01,-0.00,0.69
104168,0.01,0.01,0.71
104190,0.05,0.10,0.75
104212,-0.01,-0.03,0.69
104234,-0.01,-0.02,0.69
104256,-0.01,-0.00,0.69
104278,-0.01,-0.01,0.69
104300,-0.01,-0.03,0.69
104322,-0.01,-0.03,0.69
104344,0.01,0.01,0.71
104366,-0.01,-0.02,0.69
104388,-0.01,-0.02,0.69
104410,-0.01,-0.01,0.69
104432,0.01,0.01,0.71
104454,-0.01,-0.02,0.69
104476,0.01,0.01,0.71
104498,-0.01,-0.02,0.69
104520,0.01,0.02,0.71
104542,-0.01,-0.02,0.69
104564,-0.01,-0.02,0.69
104586,-0.01,-0.02,0.69
104608,-0.01,-0.02,0.69
104630,0.02,0.04,0.72
104652,-0.01,-0.02,0.69
104674,-0.01,-0.02,0.69
104696,0.02,0.05,0.72
104718,-0.01,-0.01,0.69
104740,-0.01,-0.02,0.69
104763,-0.01,-0.02,0.69
104785,-0.01,-0.02,0.69
104807,0.01,0.00,0.71
104829,-0.01,-0.03,0.69
104851,-0.01,-0.02,0.69
104873,0.02,0.05,0.72
104895,-0.01,-0.02,0.69
104917,0.01,0.01,0.71
104939,1.39,3.04,0.69
104961,1.35,2.95,0.65
104983,1.27,2.96,0.57
105005,1.16,3.17,0.46
105027,1.03,3.24,0.33
105049,0.88,2.53,0.18
105071,0.76,1.87,0.06
105093,0.65,1.45,-0.05
105115,0.55,1.21,-0.15
105137,0.47,1.07,-0.23
105159,0.44,1.05,-0.26
105181,0.43,1.04,-0.27
105203,0.32,0.80,-0.38
105225,0.29,0.73,-0.41
105248,0.14,0.39,-0.56
105270,0.19,0.49,-0.51
105292,0.17,0.37,-0.53
105314,0.15,0.32,-0.55
105336,0.11,0.23,-0.59
105358,0.04,0.13,-0.66
105380,0.07,0.20,-0.63
105402,0.08,0.20,-0.62
105424,0.04,0.08,-0.66
105446,0.04,0.08,-0.66
105468,0.01,0.05,-0.69
