2384,-0.93,-0.04
2906,-0.93,-0.05
3428,-0.93,-0.06
3950,-0.92,-0.07
4472,-0.93,-0.08
4994,-0.93,-0.09
5516,-0.93,-0.10
6038,-0.93,-0.11
6560,-0.93,-0.12
7082,-0.93,-0.13
7604,-0.93,-0.14
8126,-0.93,-0.15
8648,-0.92,-0.16
9170,-0.93,-0.17
9692,-0.93,-0.18
10214,-0.93,-0.19
10736,-0.93,-0.20
11258,-0.93,-0.21
11780,-0.93,-0.22
12302,-0.93,-0.23
12824,-0.92,-0.24
13346,-0.93,-0.25
13868,-0.93,-0.26
14390,-0.93,-0.27
14912,-0.93,-0.28
15434,-0.93,-0.29
15956,-0.93,-0.30
16478,-0.93,-0.31
17000,-0.93,-0.32
17522,-0.93,-0.33
18044,-0.92,-0.34
18566,-1.02,-0.35
19088,-0.93,-0.36
19610,-0.89,-0.37
20132,-0.93,-0.38
20654,-0.93,-0.39
21176,-0.92,-0.40
21698,-0.89,-0.41
22220,-0.93,-0.42
22742,-0.99,-0.43
23264,-0.93,-0.44
23786,-0.93,-0.45
24308,-0.93,-0.46
24830,-0.93,-0.47
25352,-0.93,-0.48
25874,-0.92,-0.49
26396,-0.92,-0.50
26918,-0.71,-0.51
27440,-0.58,-0.52
27962,-0.47,-0.53
28484,-0.36,-0.54
29006,-0.25,-0.55
29528,-0.15,-0.56
30050,-0.08,-0.57
30572,-0.07,-0.58
31094,-0.08,-0.59
31616,-0.08,-0.60
32138,-0.08,-0.61
32660,-0.07,-0.62
33182,-0.08,-0.63
33704,-0.02,-0.64
34226,-0.07,-0.65
34748,-0.08,-0.66
35270,-0.05,-0.67
35792,-0.07,-0.68
36314,-0.08,-0.69
36836,-0.04,-0.70
37358,-0.14,-0.71
37880,0.13,-0.72
38402,0.37,-0.73
38924,0.62,-0.74
39446,0.90,-0.75
39968,1.23,-0.76
40490,1.41,-0.77
41012,1.41,-0.78
41534,1.42,-0.79
42056,1.42,-0.80
42578,1.41,-0.81
43100,1.42,-0.82
43622,1.41,-0.83
