0.55,-0.55
28137,-0.15,-0.15
28138,-0.14,-0.14
28139,-0.16,-0.16
28141,-0.05,-0.05
28142,-0.08,-0.08
28143,-0.14,-0.14
28144,-0.12,-0.12
28145,-0.16,-0.16
28146,-0.12,-0.12
28148,-0.11,-0.11
28149,-0.09,-0.09
28150,-0.09,-0.09
28151,-0.08,-0.08
28152,-0.07,-0.07
28153,-0.08,-0.08
28155,-0.05,-0.05
28156,-0.05,-0.05
28157,-0.04,-0.04
28158,-0.04,-0.04
28159,-0.04,-0.04
28161,-0.19,-0.19
28162,0.09,0.09
28163,-0.04,-0.04
28164,-0.01,-0.01
28165,0.04,0.04
28166,-0.01,-0.01
28167,0.03,0.03
28168,0.00,0.00
28169,-0.04,-0.04
28171,0.04,0.04
28171,-0.05,-0.05
28173,0.04,0.04
28174,0.03,0.03
28175,0.03,0.03
28176,0.03,0.03
28177,0.03,0.03
28178,0.04,0.04
28179,0.04,0.04
28180,0.02,0.02
28181,0.04,0.04
28182,0.07,0.07
28183,0.04,0.04
28184,0.06,0.06
28185,0.04,0.04
28186,0.06,0.06
28187,0.02,0.02
28188,0.07,0.07
28189,0.06,0.06
28190,0.04,0.04
28191,0.06,0.06
28192,0.07,0.07
28193,0.06,0.06
28194,0.04,0.04
28195,0.06,0.06
28196,0.04,0.04
28197,0.06,0.06
28198,0.04,0.04
28199,0.06,0.06
28200,0.04,0.04
28201,0.04,0.04
28202,0.04,0.04
28203,-0.05,-0.05
28204,0.04,0.04
28205,0.04,0.04
28206,0.02,0.02
28207,0.10,0.10
28209,0.10,0.10
28210,0.03,0.03
28211,0.04,0.04
28212,0.06,0.06
28213,0.06,0.06
28214,0.00,0.00
28215,0.04,0.04
28216,0.02,0.02
28217,0.04,0.04
28218,0.04,0.04
28219,0.10,0.10
28220,-0.07,-0.07
28221,0.04,0.04
28222,0.04,0.04
28223,0.04,0.04
28224,0.00,0.00
28225,0.03,0.03
28226,0.03,0.03
28227,-0.07,-0.07
28228,0.00,0.00
28229,0.02,0.02
28230,0.04,0.04
28231,0.02,0.02
28232,0.04,0.04
28233,0.15,0.15
28234,-0.04,-0.04
28236,0.02,0.02
28237,0.02,0.02
28238,0.02,0.02
28239,0.02,0.02
28240,0.02,0.02
28241,0.02,0.02
28242,0.02,0.02
28243,-0.04,-0.04
28244,0.04,0.04
28245,0.09,0.09
28246,0.00,0.00
28247,0.02,0.02
28248,0.06,0.06
28249,0.03,0.03
28250,0.02,0.02
28251,0.00,0.00
28252,0.00,0.00
28253,0.00,0.00
28254,0.00,0.00
28255,0.00,0.00
28256,0.00,0.00
28257,0.02,0.02
28258,-0.01,-0.01
28259,0.00,0.00
28260,-0.01,-0.01
28261,-0.34,-0.34
28262,-0.04,-0.04
28263,-0.11,-0.11
28265,-0.01,-0.01
28266,0.00,0.00
28267,0.00,0.00
28268,-0.01,-0.01
28269,0.00,0.00
28270,0.02,0.02
28271,-0.01,-0.01
28272,0.03,0.03
28273,0.03,0.03
28274,0.00,0.00
28275,0.02,0.02
28276,0.00,0.00
28277,0.00,0.00
28279,-0.01,-0.01
28280,-0.01,-0.01
28281,0.00,0.00
28282,-0.01,-0.01
28283,0.03,0.03
28284,0.06,0.06
28285,-0.08,-0.08
28286,0.00,0.00
28287,0.02,0.02
28288,0.04,0.04
28289,0.00,0.00
28290,0.00,0.00
28291,0.00,0.00
28292,0.03,0.03
28293,-0.05,-0.05
28295,-0.01,-0.01
28296,0.00,0.00
28297,-0.01,-0.01
28298,-0.01,-0.01
28299,-0.04,-0.04
28300,0.09,0.09
28301,-0.04,-0.04
28303,-0.01,-0.01
28304,0.00,0.00
28305,-0.01,-0.01
28306,0.00,0.00
28307,-0.01,-0.01
28308,-0.01,-0.01
28309,-0.08,-0.08
28311,0.00,0.00
28312,-0.01,-0.01
28313,0.00,0.00
28314,-0.01,-0.01
28315,0.00,0.00
28316,0.02,0.02
28317,0.00,0.00
28318,-0.01,-0.01
28319,-0.01,-0.01
28320,0.03,0.03
28321,0.00,0.00
28322,-0.01,-0.01
28324,-0.01,-0.01
28325,-0.08,-0.08
28326,0.00,0.00
28327,-0.02,-0.02
28328,0.02,0.02
28329,0.00,0.00
28330,0.00,0.00
28331,-0.01,-0.01
28332,0.00,0.00
28333,-0.09,-0.09
28335,0.00,0.00
28336,-0.01,-0.01
28337,0.00,0.00
28338,-0.01,-0.01
28339,0.04,0.04
28340,-0.02,-0.02
28341,0.04,0.04
28342,0.00,0.00
28343,-0.02,-0.02
28344,-0.04,-0.04
28346,-0.01,-0.01
28347,0.00,0.00
28348,-0.01,-0.01
28349,-0.01,-0.01
28350,0.02,0.02
28351,-0.08,-0.08
28352,0.00,0.00
28353,0.00,0.00
28354,0.00,0.00
28355,-0.11,-0.11
28357,-0.01,-0.01
28358,0.00,0.00
28359,-0.01,-0.01
28360,-0.07,-0.07
28361,0.00,0.00
28362,0.00,0.00
28363,-0.02,-0.02
28364,0.02,0.02
28365,0.02,0.02
28366,0.02,0.02
28367,0.00,0.00
28368,0.00,0.00
28369,0.00,0.00
28370,0.02,0.02
28371,0.00,0.00
28372,0.00,0.00
28373,0.02,0.02
28374,0.00,0.00
28375,0.04,0.04
28376,0.02,0.02
28377,0.00,0.00
28378,0.02,0.02
28379,0.00,0.00
28380,0.00,0.00
28382,-0.01,-0.01
28383,0.00,0.00
28384,0.00,0.00
28385,0.00,0.00
28386,0.00,0.00
28387,-0.12,-0.12
28388,0.04,0.04
28389,0.00,0.00
28390,0.00,0.00
28391,-0.01,-0.01
28392,-0.01,-0.01
28393,-0.01,-0.01
28395,0.00,0.00
28396,-0.01,-0.01
28397,0.00,0.00
28398,0.02,0.02
28399,0.00,0.00
28400,0.00,0.00
28401,0.00,0.00
28402,0.02,0.02
28403,0.00,0.00
28404,-0.04,-0.04
28405,0.00,0.00
28406,0.00,0.00
