460755,0.00
632307,-0.632308,-0.33
632309,-0.33
632309,-0.29
632310,-0.33
632311,-0.33
632311,-0.33
632312,-0.33
632313,-0.33
632313,-0.33
632314,-0.33
632315,-0.33
632316,-0.33
632316,-0.33
632317,-0.33
632318,-0.31
632318,-0.33
632319,-0.33
632320,-0.31
632320,-0.33
632321,-0.33
632322,-0.34
632322,-0.33
632323,-0.33
632324,-0.33
632324,-0.33
632325,-0.33
632326,-0.34
632326,-0.33
632327,-0.37
632328,-0.31
632328,-0.34
632329,-0.33
632330,-0.33
632330,-0.33
632331,-0.33
632332,-0.33
632332,-0.33
632333,-0.33
632334,-0.33
632334,-0.34
632335,-0.33
632336,-0.33
632337,-0.33
632337,-0.31
632338,-0.33
632338,-0.31
632339,-0.33
632340,-0.33
632341,-0.33
632341,-0.33
632342,-0.33
632343,-0.33
632343,-0.33
632344,-0.33
632345,-0.33
632345,-0.33
632346,-0.33
632347,-0.31
632347,-0.33
632348,-0.33
632349,-0.33
632349,-0.30
632350,-0.33
632351,-0.33
632351,-0.33
632352,-0.33
632353,-0.33
632353,-0.33
632354,-0.33
632355,-0.33
632356,-0.33
632356,-0.31
632357,-0.31
632358,-0.33
632358,-0.33
632359,-0.33
632360,-0.33
632360,-0.31
632361,-0.33
632362,-0.33
632362,-0.34
632363,-0.33
632364,-0.33
632365,-0.33
632365,-0.31
632366,-0.33
632367,-0.33
632367,-0.31
632368,-0.34
632369,-0.33
632369,-0.33
632370,-0.33
632371,-0.33
632371,-0.33
632372,-0.33
632373,-0.33
632373,-0.33
632374,-0.31
632375,-0.33
632376,-0.31
632376,-0.33
632377,-0.33
632378,-0.31
632378,-0.33
632379,-0.33
632380,-0.33
632380,-0.33
632381,-0.33
632382,-0.33
632382,-0.31
632383,-0.31
632384,-0.33
632384,-0.33
632385,-0.30
632386,-0.33
632386,-0.33
632387,-0.33
632388,-0.33
632388,-0.33
632389,-0.33
632390,-0.33
632391,-0.33
632391,-0.33
632392,-0.33
632393,-0.33
632393,-0.33
632394,-0.31
632395,-0.31
