,-0.19
321612,-0.25,.20,-0.20
321614,-0.19,-0.19
321616,-0.19,-0.19
321617,-0.19,-0.19
321618,-0.20,-0.20
321619,-0.20,-0.20
321620,-0.20,-0.20
321621,-0.19,-0.19
321623,-0.19,-0.19
321624,-0.20,-0.20
321625,-0.20,-0.20
321626,-0.20,-0.20
321627,-0.20,-0.20
321629,-0.19,-0.19
321630,-0.20,-0.20
321631,-0.19,-0.19
321632,-0.20,-0.20
321633,-0.19,-0.19
321635,-0.20,-0.20
321636,-0.19,-0.19
321637,-0.20,-0.20
321638,-0.20,-0.20
321639,-0.19,-0.19
321640,-0.20,-0.20
321642,-0.19,-0.19
321643,-0.20,-0.20
321644,-0.20,-0.20
321645,-0.20,-0.20
321646,-0.19,-0.19
321647,-0.20,-0.20
321649,-0.19,-0.19
321650,-0.19,-0.19
321651,-0.19,-0.19
321652,-0.19,-0.19
321653,-0.19,-0.19
321654,-0.19,-0.19
321656,-0.20,-0.20
321657,-0.20,-0.20
321658,-0.20,-0.20
321659,-0.20,-0.20
321660,-0.19,-0.19
321662,-0.19,-0.19
321663,-0.20,-0.20
321664,-0.20,-0.20
321665,-0.19,-0.19
321666,-0.20,-0.20
321667,-0.19,-0.19
321669,-0.20,-0.20
321670,-0.20,-0.20
321671,-0.19,-0.19
321672,-0.19,-0.19
321673,-0.20,-0.20
321674,-0.19,-0.19
321676,-0.19,-0.19
321677,-0.19,-0.19
321678,-0.20,-0.20
321679,-0.16,-0.16
321680,-0.20,-0.20
321682,-0.20,-0.20
321683,-0.19,-0.19
321684,-0.19,-0.19
321685,-0.20,-0.20
321686,-0.20,-0.20
321688,-0.19,-0.19
321689,-0.20,-0.20
321690,-0.19,-0.19
321691,-0.19,-0.19
321692,-0.20,-0.20
321693,-0.20,-0.20
321695,-0.20,-0.20
321696,-0.19,-0.19
321697,-0.19,-0.19
321698,-0.16,-0.16
321699,-0.20,-0.20
321700,-0.19,-0.19
321702,-0.19,-0.19
321703,-0.19,-0.19
321704,-0.19,-0.19
321705,-0.19,-0.19
321706,-0.19,-0.19
321707,-0.19,-0.19
321709,-0.19,-0.19
321710,-0.20,-0.20
321711,-0.19,-0.19
321712,-0.20,-0.20
321714,-0.20,-0.20
321715,-0.19,-0.19
321716,-0.20,-0.20
321717,-0.20,-0.20
321718,-0.19,-0.19
321719,-0.19,-0.19
321721,-0.19,-0.19
321722,-0.20,-0.20
321723,-0.19,-0.19
321724,-0.19,-0.19
321725,-0.20,-0.20
321727,-0.19,-0.19
321728,-0.20,-0.20
321729,-0.19,-0.19
321730,-0.19,-0.19
321731,-0.19,-0.19
321733,-0.19,-0.19
321734,-0.19,-0.19
321735,-0.20,-0.20
321736,-0.20,-0.20
321737,-0.20,-0.20
321738,-0.19,-0.19
321740,-0.19,-0.19
321741,-0.20,-0.20
321742,-0.19,-0.19
321744,-0.20,-0.20
321745,-0.20,-0.20
321746,-0.20,-0.20
