4,-0.76
146679,2.37,0.37
146680,2.37,0.37
146681,2.36,0.36
146682,2.35,0.35
146683,2.33,0.33
146684,2.33,0.33
146685,2.32,0.32
146686,2.31,0.31
146687,2.29,0.29
146688,2.28,0.28
146689,2.28,0.28
146690,2.26,0.26
146691,2.24,0.24
146693,2.24,0.24
146694,2.22,0.22
146695,2.22,0.22
146696,2.21,0.21
146697,2.20,0.20
146698,2.17,0.17
146699,2.17,0.17
146700,2.15,0.15
146701,2.15,0.15
146702,2.14,0.14
146703,2.13,0.13
146704,2.11,0.11
146705,2.11,0.11
146706,2.10,0.10
146707,2.07,0.07
146708,2.06,0.06
146709,2.04,0.04
146710,2.04,0.04
146711,2.03,0.03
146712,2.02,0.02
146713,2.00,0.00
146715,2.00,0.00
146716,1.99,-0.01
146717,1.98,-0.02
146718,1.96,-0.04
146719,1.95,-0.05
146720,1.93,-0.07
146721,1.93,-0.07
146722,1.85,-0.15
146723,1.91,-0.09
146724,1.88,-0.12
146725,1.86,-0.14
146727,1.86,-0.14
146728,1.86,-0.14
146729,1.80,-0.20
146730,1.82,-0.18
146731,1.81,-0.19
146732,1.80,-0.20
146733,1.80,-0.20
146734,1.81,-0.19
146736,1.77,-0.23
146737,1.75,-0.25
146738,1.74,-0.26
146739,1.73,-0.27
146740,1.71,-0.29
146741,1.70,-0.30
146742,1.69,-0.31
146743,1.67,-0.33
146744,1.67,-0.33
146746,1.64,-0.36
146747,1.64,-0.36
146748,1.63,-0.37
146749,1.59,-0.41
146750,1.60,-0.40
146751,1.60,-0.40
146752,1.59,-0.41
146753,1.58,-0.42
146754,1.56,-0.44
146755,1.55,-0.45
146757,1.53,-0.47
146758,1.52,-0.48
146759,1.51,-0.49
146760,1.49,-0.51
146761,1.48,-0.52
146762,1.55,-0.45
146763,1.47,-0.53
146764,1.48,-0.52
146766,1.44,-0.56
146767,1.42,-0.58
146768,1.42,-0.58
146769,1.40,-0.60
146770,1.38,-0.62
146771,1.38,-0.62
146772,1.37,-0.63
146773,1.36,-0.64
146774,1.34,-0.66
146776,1.33,-0.67
146777,1.31,-0.69
146778,1.30,-0.70
146779,1.29,-0.71
146780,1.27,-0.73
146781,1.27,-0.73
146782,1.26,-0.74
146783,1.26,-0.74
146784,1.23,-0.77
146785,1.24,-0.76
146787,1.22,-0.78
146788,1.20,-0.80
146789,1.20,-0.80
146790,1.23,-0.77
146791,1.19,-0.81
146792,1.19,-0.81
146793,1.18,-0.82
146795,1.16,-0.84
146796,1.16,-0.84
146797,1.09,-0.91
146798,1.15,-0.85
146799,1.15,-0.85
146800,1.16,-0.84
146801,1.13,-0.87
146802,1.13,-0.87
146803,1.11,-0.89
146804,1.15,-0.85
146806,1.12,-0.88
146807,1.12,-0.88
146808,1.15,-0.85
146809,1.12,-0.88
146810,1.13,-0.87
146811,1.11,-0.89
146812,1.11,-0.89
146813,1.11,-0.89
146814,1.11,-0.89
146816,1.11,-0.89
146817,1.11,-0.89
146818,1.09,-0.91
146819,1.09,-0.91
146820,1.13,-0.87
146821,1.09,-0.91
146822,1.09,-0.91
146824,1.09,-0.91
146825,1.13,-0.87
146826,1.09,-0.91
146827,1.09,-0.91
146828,1.09,-0.91
146829,1.09,-0.91
146830,1.09,-0.91
