-0.93,-0.93,-0.00,
-0.93,-0.93,-0.01,
-0.93,-0.93,-0.01,
-0.93,-0.93,-0.01,
-0.93,-0.93,-0.01,
-0.92,-0.91,-0.01,
-0.93,-0.92,-0.01,
-0.93,-0.92,-0.01,
-0.93,-0.92,-0.01,
-0.93,-0.92,-0.01,
-0.93,-0.92,-0.01,
-0.93,-0.92,-0.02,
-0.93,-0.92,-0.02,
-0.92,-0.90,-0.02,
-0.93,-0.92,-0.02,
-0.93,-0.91,-0.02,
-0.93,-0.91,-0.02,
-0.66,-0.64,-0.02,
-0.44,-0.42,-0.02,
-0.26,-0.24,-0.02,
-0.09,-0.07,-0.02,
0.02,0.04,-0.03,
0.13,0.15,-0.03,
0.15,0.18,-0.03,
0.17,0.20,-0.03,
0.15,0.18,-0.03,
0.15,0.19,-0.03,
0.15,0.19,-0.03,
0.15,0.19,-0.03,
0.17,0.20,-0.03,
0.15,0.19,-0.03,
0.33,0.37,-0.04,
0.61,0.65,-0.04,
0.90,0.94,-0.04,
1.24,1.28,-0.04,
1.44,1.48,-0.04,
1.44,1.48,-0.04,
1.44,1.48,-0.04,
1.44,1.48,-0.04,
1.44,1.48,-0.04,
1.44,1.48,-0.04,
