246336,0.028
246357,0.082
246378,0.057
246399,0.049
246420,0.065
246441,0.079
246462,0.075
246483,0.059
246504,0.067
246525,0.096
246546,0.09
246567,0.071
246588,0.09
246609,0.119
246630,0.114
246651,0.106
246672,0.131
246693,0.131
246714,0.117
246735,0.103
246756,0.148
246777,0.146
246798,0.139
246819,0.136
246840,0.171
246861,0.164
246882,0.145
246903,0.153
246924,0.205
246945,0.193
246966,0.179
246987,0.2
247008,0.219
247029,0.216
247050,0.203
247071,0.231
247092,0.251
247113,0.239
247134,0.216
247155,0.254
247176,0.279
247197,0.256
247218,0.256
247239,0.295
247260,0.298
247281,0.283
247302,0.292
247323,0.327
247344,0.346
247365,0.319
247386,0.334
247407,0.352
247428,0.351
247449,0.335
247470,0.363
247491,0.387
247512,0.383
247533,0.359
247554,0.393
247575,0.427
247596,0.423
247617,0.382
247640,0.425
247661,0.435
247682,0.398
247703,0.382
247724,0.405
247745,0.405
247766,0.37
247787,0.362
247808,0.389
247830,0.378
247851,0.342
247872,0.352
552,0.29
573,0.261
594,0.243
615,0.268
636,0.282
657,0.3
678,0.296
699,0.42
720,0.441
741,0.408
762,0.41
783,0.435
804,0.401
825,0.388
846,0.406
867,0.417
888,0.425
909,0.373
930,0.404
951,0.412
972,0.38
993,0.371
1014,0.396
1035,0.394
1056,0.368
1077,0.38
1098,0.392
1119,0.392
1140,0.358
1161,0.365
1182,0.387
1203,0.394
1224,0.356
1245,0.353
1266,0.37
1287,0.356
1308,0.337
1329,0.332
1351,0.361
1372,0.346
1393,0.333
1414,0.344
1435,0.342
1456,0.318
1477,0.314
1498,0.321
1519,0.32
1540,0.298
1561,0.298
1582,0.313
1603,0.31
1624,0.269
1645,0.279
1666,0.278
1688,0.282
1709,0.252
1730,0.253
1751,0.27
1772,0.247
1793,0.222
1814,0.253
1835,0.269
1856,0.229
1877,0.211
1898,0.221
1919,0.214
1940,0.184
1961,0.199
1982,0.202
2003,0.216
2024,0.168
2045,0.162
2066,0.179
2087,0.167
2108,0.155
2129,0.147
2150,0.171
2171,0.139
2192,0.106
2213,0.127
2234,0.125
2255,0.11
2276,0.078
2297,0.097
2318,0.102
2339,0.083
2360,0.048
2381,0.071
2402,0.066
2423,0.031
2444,0.039
2465,0.036
2486,0.036
2507,0.014
2528,-0.016
2549,0.02
2570,0.002
2591,-0.011
2612,-0.013
2633,0.018
2654,0.02
2675,-0.017
2696,-0.015
2717,0.018
2738,0.009
2759,-0.027
2780,-0.015
2801,0.015
2822,0.002
2843,-0.03
2864,-0.013
2885,0.014
2906,-0.005
2927,-0.03
2948,-0.005
2969,0.017
2990,-0.008
3011,-0.028
3032,0.001
3053,0.027
3074,-0.008
3095,-0.01
3116,0.023
3137,0.033
3158,0.004
3179,0.004
3200,0.032
3221,0.019
3242,-0.016
3263,-0.01
3284,0.033
3305,-0.001
3326,-0.032
3347,-0.02
3368,0.011
3389,-0.003
3410,0.002
3431,0.031
3452,0.019
3473,0.002
3494,0.007
3515,0.006
3536,0.022
3557,0.011
3578,0.002
3599,0.035
3620,0.019
3641,-0.001
3662,-0.011
3683,0.045
3704,0.033
3725,0.01
3746,0.026
3767,0.065
3788,0.051
3809,0.015
3830,0.053
3851,0.053
3872,0.047
3893,0.03
3914,0.049
3935,0.085
3956,0.054
3977,0.056
3998,0.085
4019,0.076
4040,0.061
4061,0.056
4082,0.101
4103,0.117
4124,0.076
4145,0.1
4166,0.131
4187,0.11
4208,0.097
4229,0.11
4250,0.132
4271,0.148
4292,0.109
4313,0.129
4334,0.155
4355,0.144
4376,0.118
4397,0.153
4418,0.182
4439,0.163
4460,0.166
4481,0.169
4502,0.205
4523,0.188
4544,0.168
4565,0.212
4586,0.227
4607,0.197
4628,0.222
4650,0.234
4671,0.231
4692,0.208
4713,0.247
4734,0.273
4755,0.255
4776,0.236
4797,0.272
4818,0.311
4839,0.286
4860,0.273
4881,0.298
4902,0.312
4923,0.312
4944,0.319
4965,0.335
4986,0.362
5007,0.338
5028,0.353
5049,0.37
5070,0.382
5091,0.37
5112,0.389
5133,0.404
5154,0.406
5175,0.377
5196,0.365
5217,0.403
5238,0.399
5259,0.358
5280,0.352
5301,0.38
5322,0.362
5343,0.321
5364,0.325
5385,0.345
5406,0.326
5427,0.287
5448,0.299
5469,0.313
5490,0.284
5511,0.256
5532,0.278
5553,0.286
5574,0.252
5595,0.23
5616,0.259
5637,0.272
5658,0.248
5679,0.242
5700,0.272
5721,0.273
5742,0.252
5763,0.248
5784,0.267
5805,0.263
5826,0.226
5847,0.229
5868,0.254
5889,0.242
5910,0.214
5931,0.227
5952,0.258
5973,0.24
5994,0.216
6015,0.3
6036,0.318
6057,0.294
6078,0.27
6099,0.404
6120,0.432
6141,0.393
6162,0.391
6183,0.416
6204,0.43
6225,0.4
6246,0.386
6267,0.402
6288,0.397
6309,0.38
6330,0.394
6351,0.416
6372,0.416
6393,0.382
6414,0.394
6435,0.388
6456,0.378
6477,0.381
6498,0.384
6519,0.389
6540,0.366
6561,0.367
6582,0.386
6603,0.386
6624,0.346
6645,0.352
6666,0.363
6687,0.38
6708,0.33
6729,0.348
6750,0.344
6771,0.362
6792,0.327
6813,0.33
6834,0.356
6855,0.32
6876,0.289
6897,0.321
6918,0.322
6939,0.319
6960,0.279
6981,0.299
7002,0.314
7023,0.286
7044,0.273
7065,0.275
7086,0.295
7107,0.256
7128,0.253
7149,0.276
7170,0.28
7191,0.233
7212,0.233
7233,0.26
7254,0.243
7275,0.214
7296,0.202
7317,0.227
7338,0.215
7359,0.189
7380,0.177
7401,0.208
7422,0.193
7443,0.17
7464,0.177
7485,0.183
7506,0.155
7527,0.126
7548,0.146
7569,0.154
7590,0.137
7611,0.11
7632,0.133
7653,0.12
7674,0.09
7695,0.077
7716,0.093
7737,0.084
7758,0.061
7779,0.066
7800,0.076
7821,0.075
7842,0.032
7863,0.032
7884,0.046
7905,0.035
7926,-0.007
7947,0.001
7968,0.035
7989,-0.002
8010,-0.01
8031,0.009
8052,0.011
8073,0.02
8094,-0.011
8115,0.003
8136,0.028
8157,0.007
8178,-0.018
8199,0.007
8220,0.028
8241,0.001
8262,-0.019
8283,0.01
8304,0.023
8325,-0.007
8346,-0.018
8367,0.013
8388,0.018
8409,-0.012
8430,-0.014
8451,0.017
8472,0.03
8493,-0.001
8514,0.006
8535,0.03
8556,0.024
8577,-0.007
8598,0.009
8619,0.037
8640,-0.002
8661,-0.017
8682,0.002
8703,0.034
8724,0
8745,-0.017
8766,0.01
8787,0.028
8808,0.009
8829,0
8850,0.031
8871,0.043
8892,-0.015
8913,-0.007
8934,0.037
8955,0.029
8976,-0.016
8997,-0.008
9018,0.023
9039,0.035
9060,0.005
9081,0.016
9102,0.04
9123,0.029
9144,0.022
9165,0.034
9186,0.076
9207,0.04
9228,0.034
9249,0.057
9270,0.053
9291,0.035
9312,0.026
9333,0.081
9354,0.092
9375,0.062
9396,0.075
9417,0.088
9438,0.081
9459,0.082
9480,0.087
9501,0.1
9522,0.109
9543,0.081
9564,0.109
9585,0.14
9606,0.113
9627,0.104
9648,0.13
9669,0.139
9690,0.142
9711,0.111
9732,0.151
9753,0.172
9774,0.148
9795,0.156
9816,0.167
9837,0.18
9858,0.168
9879,0.156
9900,0.195
9921,0.203
9942,0.181
